Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modDyeRgb_128_0_0,item_modifiers,mod,,,7Dyes[tm] Dye: 000-100-050 ,,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 ,7Dyes[tm] Dye: 000-100-050 
modDyeRgb_191_0_0,item_modifiers,mod,,,7Dyes[tm] Dye: 000-100-075 ,,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 ,7Dyes[tm] Dye: 000-100-075 
modPigmentRgb_255_0_0,item_modifiers,mod,,,7Dyes[tm] Dye: 000-100-100 (Pigment) ,,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) ,7Dyes[tm] Dye: 000-100-100 (Pigment) 
pigment_dust_rgb255_0_0,items,Item,,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000,,7Dyes[tm] Pigment Powder: 000

modDyeRgb_64_42_38,item_modifiers,mod,,,7Dyes[tm] Dye: 008-040-025 ,,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 ,7Dyes[tm] Dye: 008-040-025 
modDyeRgb_128_83_77,item_modifiers,mod,,,7Dyes[tm] Dye: 008-040-050 ,,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 ,7Dyes[tm] Dye: 008-040-050 
modDyeRgb_191_125_115,item_modifiers,mod,,,7Dyes[tm] Dye: 008-040-075 ,,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 ,7Dyes[tm] Dye: 008-040-075 
modDyeRgb_255_166_154,item_modifiers,mod,,,7Dyes[tm] Dye: 008-040-100 ,,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 ,7Dyes[tm] Dye: 008-040-100 
modDyeRgb_64_29_24,item_modifiers,mod,,,7Dyes[tm] Dye: 008-063-025 ,,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 ,7Dyes[tm] Dye: 008-063-025 
modDyeRgb_128_57_47,item_modifiers,mod,,,7Dyes[tm] Dye: 008-063-050 ,,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 ,7Dyes[tm] Dye: 008-063-050 
modDyeRgb_191_86_71,item_modifiers,mod,,,7Dyes[tm] Dye: 008-063-075 ,,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 ,7Dyes[tm] Dye: 008-063-075 
modDyeRgb_255_114_94,item_modifiers,mod,,,7Dyes[tm] Dye: 008-063-100 ,,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 ,7Dyes[tm] Dye: 008-063-100 
modDyeRgb_64_18_11,item_modifiers,mod,,,7Dyes[tm] Dye: 008-083-025 ,,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 ,7Dyes[tm] Dye: 008-083-025 
modDyeRgb_128_35_22,item_modifiers,mod,,,7Dyes[tm] Dye: 008-083-050 ,,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 ,7Dyes[tm] Dye: 008-083-050 
modDyeRgb_191_53_33,item_modifiers,mod,,,7Dyes[tm] Dye: 008-083-075 ,,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 ,7Dyes[tm] Dye: 008-083-075 
modDyeRgb_255_71_45,item_modifiers,mod,,,7Dyes[tm] Dye: 008-083-100 ,,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 ,7Dyes[tm] Dye: 008-083-100 
modDyeRgb_64_8_0,item_modifiers,mod,,,7Dyes[tm] Dye: 008-100-025 ,,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 ,7Dyes[tm] Dye: 008-100-025 
modDyeRgb_128_16_0,item_modifiers,mod,,,7Dyes[tm] Dye: 008-100-050 ,,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 ,7Dyes[tm] Dye: 008-100-050 
modDyeRgb_191_24_0,item_modifiers,mod,,,7Dyes[tm] Dye: 008-100-075 ,,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 ,7Dyes[tm] Dye: 008-100-075 
modPigmentRgb_255_32_0,item_modifiers,mod,,,7Dyes[tm] Dye: 008-100-100 (Pigment) ,,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) ,7Dyes[tm] Dye: 008-100-100 (Pigment) 
pigment_dust_rgb255_32_0,items,Item,,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008,,7Dyes[tm] Pigment Powder: 008

modDyeRgb_64_45_38,item_modifiers,mod,,,7Dyes[tm] Dye: 015-040-025 ,,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 ,7Dyes[tm] Dye: 015-040-025 
modDyeRgb_128_90_77,item_modifiers,mod,,,7Dyes[tm] Dye: 015-040-050 ,,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 ,7Dyes[tm] Dye: 015-040-050 
modDyeRgb_191_134_115,item_modifiers,mod,,,7Dyes[tm] Dye: 015-040-075 ,,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 ,7Dyes[tm] Dye: 015-040-075 
modDyeRgb_255_179_154,item_modifiers,mod,,,7Dyes[tm] Dye: 015-040-100 ,,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 ,7Dyes[tm] Dye: 015-040-100 
modDyeRgb_64_34_24,item_modifiers,mod,,,7Dyes[tm] Dye: 015-063-025 ,,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 ,7Dyes[tm] Dye: 015-063-025 
modDyeRgb_128_67_47,item_modifiers,mod,,,7Dyes[tm] Dye: 015-063-050 ,,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 ,7Dyes[tm] Dye: 015-063-050 
modDyeRgb_191_101_71,item_modifiers,mod,,,7Dyes[tm] Dye: 015-063-075 ,,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 ,7Dyes[tm] Dye: 015-063-075 
